"city_code","state"
2407609,"RN"
2407708,"RN"
2407807,"RN"
2407906,"RN"
2408003,"RN"
2408102,"RN"
2408201,"RN"
2408300,"RN"
2408409,"RN"
2408508,"RN"
2408607,"RN"
2408706,"RN"
2408805,"RN"
2408904,"RN"
2408953,"RN"
2409100,"RN"
2409209,"RN"
2409308,"RN"
2409332,"RN"
2409407,"RN"
2409506,"RN"
2409605,"RN"
2409704,"RN"
2409803,"RN"
2409902,"RN"
2410009,"RN"
2410108,"RN"
2410207,"RN"
2410256,"RN"
2410306,"RN"
2410405,"RN"
2410504,"RN"
2410603,"RN"
2410702,"RN"
2410801,"RN"
2410900,"RN"
2411007,"RN"
2411056,"RN"
2411106,"RN"
2411205,"RN"
2411403,"RN"
2411429,"RN"
2411502,"RN"
2411601,"RN"
2411700,"RN"
2411809,"RN"
2411908,"RN"
2412005,"RN"
2412104,"RN"
2412203,"RN"
2412302,"RN"
2412401,"RN"
2412500,"RN"
2412559,"RN"
2412609,"RN"
2412708,"RN"
2412807,"RN"
2412906,"RN"
2413003,"RN"
2413102,"RN"
2413201,"RN"
2413300,"RN"
2413359,"RN"
2413409,"RN"
2413508,"RN"
2413557,"RN"
2413607,"RN"
2413706,"RN"
2413805,"RN"
2413904,"RN"
2414001,"RN"
2414100,"RN"
2414159,"RN"
2414209,"RN"
2414308,"RN"
2414407,"RN"
2414456,"RN"
2414506,"RN"
2414605,"RN"
2414704,"RN"
2414753,"RN"
2414803,"RN"
2414902,"RN"
2415008,"RN"
2500106,"PB"
2500205,"PB"
2500304,"PB"
2500403,"PB"
2500502,"PB"
2500536,"PB"
2500577,"PB"
2500601,"PB"
2500700,"PB"
2500734,"PB"
2500775,"PB"
2500809,"PB"
2500908,"PB"
2501005,"PB"
2501104,"PB"
2501153,"PB"
2501203,"PB"
2501302,"PB"
2501351,"PB"
2501401,"PB"
2501500,"PB"
2501534,"PB"
2501575,"PB"
2501609,"PB"
2501708,"PB"
2501807,"PB"
2501906,"PB"
2502003,"PB"
2502052,"PB"
2502102,"PB"
2502151,"PB"
2502201,"PB"
2502300,"PB"
2502409,"PB"
2502508,"PB"
2502607,"PB"
2502706,"PB"
2502805,"PB"
2502904,"PB"
2503001,"PB"
2503100,"PB"
2503209,"PB"
2503308,"PB"
2503407,"PB"
2503506,"PB"
2503555,"PB"
2503605,"PB"
2503704,"PB"
2503753,"PB"
2503803,"PB"
2503902,"PB"
2504009,"PB"
2504033,"PB"
2504074,"PB"
2504108,"PB"
2504157,"PB"
2504207,"PB"
2504306,"PB"
2504355,"PB"
2504405,"PB"
2504504,"PB"
2504603,"PB"
2504702,"PB"
2504801,"PB"
2504850,"PB"
2504900,"PB"
2505006,"PB"
2505105,"PB"
2505204,"PB"
2505238,"PB"
2505279,"PB"
2505303,"PB"
2505352,"PB"
2505402,"PB"
2505501,"PB"
2505600,"PB"
2505709,"PB"
2505808,"PB"
2505907,"PB"
2506004,"PB"
2506103,"PB"
2506202,"PB"
2506251,"PB"
2506301,"PB"
2506400,"PB"
2506509,"PB"
2506608,"PB"
2506707,"PB"
2506806,"PB"
2506905,"PB"
2507002,"PB"
2507101,"PB"
2507200,"PB"
2507309,"PB"
2507408,"PB"
2507507,"PB"
2507606,"PB"
2507705,"PB"
2507804,"PB"
2507903,"PB"
2508000,"PB"
2508109,"PB"
2508208,"PB"
2508307,"PB"
2508406,"PB"
2508505,"PB"
2508554,"PB"
2508604,"PB"
2508703,"PB"
2508802,"PB"
2508901,"PB"
2509008,"PB"
2509057,"PB"
2509107,"PB"
2509156,"PB"
2509206,"PB"
2509305,"PB"
2509339,"PB"
2509370,"PB"
2509396,"PB"
2509404,"PB"
2509503,"PB"
2509602,"PB"
2509701,"PB"
2509800,"PB"
2509909,"PB"
2510006,"PB"
2510105,"PB"
2510204,"PB"
2510303,"PB"
2510402,"PB"
2510501,"PB"
2510600,"PB"
2510659,"PB"
2510709,"PB"
2510808,"PB"
2510907,"PB"
2511004,"PB"
2511103,"PB"
2511202,"PB"
2511301,"PB"
2511400,"PB"
2511509,"PB"
2511608,"PB"
2511707,"PB"
2511806,"PB"
2511905,"PB"
2512002,"PB"
2512036,"PB"
2512077,"PB"
2512101,"PB"
2512200,"PB"
2512309,"PB"
2512408,"PB"
2512507,"PB"
2512606,"PB"
2512705,"PB"
2512721,"PB"
2512747,"PB"
2512754,"PB"
2512762,"PB"
2512788,"PB"
2512804,"PB"
2512903,"PB"
2513000,"PB"
2513109,"PB"
2513158,"PB"
2513208,"PB"
2513307,"PB"
2513356,"PB"
2513406,"PB"
2513505,"PB"
2513604,"PB"
2513653,"PB"
2513703,"PB"
2513802,"PB"
2513851,"PB"
2513901,"PB"
2513927,"PB"
2513943,"PB"
2513968,"PB"
2513984,"PB"
2514008,"PB"
2514107,"PB"
2514206,"PB"
2514305,"PB"
2514404,"PB"
2514453,"PB"
2514503,"PB"
2514552,"PB"
2514602,"PB"
2514651,"PB"
2514701,"PB"
2514800,"PB"
2514909,"PB"
2515005,"PB"
2515104,"PB"
2515203,"PB"
2515302,"PB"
2515401,"PB"
2515500,"PB"
2515609,"PB"
2515708,"PB"
2515807,"PB"
2515906,"PB"
2515930,"PB"
2515971,"PB"
2516003,"PB"
2516102,"PB"
2516151,"PB"
2516201,"PB"
2516300,"PB"
2516409,"PB"
2516508,"PB"
2516607,"PB"
2516706,"PB"
2516755,"PB"
2516805,"PB"
2516904,"PB"
2517001,"PB"
2517100,"PB"
2517209,"PB"
2517407,"PB"
2600054,"PE"
2600104,"PE"
2600203,"PE"
2600302,"PE"
2600401,"PE"
2600500,"PE"
2600609,"PE"
2600708,"PE"
2600807,"PE"
2600906,"PE"
2601003,"PE"
2601052,"PE"
2601102,"PE"
2601201,"PE"
2601300,"PE"
2601409,"PE"
2601508,"PE"
2601607,"PE"
2601706,"PE"
2601805,"PE"
2601904,"PE"
2602001,"PE"
2602100,"PE"
2602209,"PE"
2602308,"PE"
2602407,"PE"
2602506,"PE"
2602605,"PE"
2602704,"PE"
2602803,"PE"
2602902,"PE"
2603009,"PE"
2603108,"PE"
2603207,"PE"
2603306,"PE"
2603405,"PE"
2603454,"PE"
2603504,"PE"
2603603,"PE"
2603702,"PE"
2603801,"PE"
2603900,"PE"
2603926,"PE"
2604007,"PE"
2604106,"PE"
2604155,"PE"
2604205,"PE"
2604304,"PE"
2604403,"PE"
2604502,"PE"
2604601,"PE"
2604700,"PE"
2604809,"PE"
2604908,"PE"
2605004,"PE"
2605103,"PE"
2605152,"PE"
2605202,"PE"
2605301,"PE"
2605400,"PE"
2605459,"PE"
2605509,"PE"
2605608,"PE"
2605707,"PE"
2605806,"PE"
2605905,"PE"
2606002,"PE"
2606101,"PE"
2606200,"PE"
2606309,"PE"
2606408,"PE"
2606507,"PE"
2606606,"PE"
