"city_code","vac.dose1percapita_Coronavac","vac.dose1percapita_Covishield.AZ","vac.dose1percapita_Unknown","vac.dose2percapita_Coronavac","vac.dose2percapita_Covishield.AZ","vac.dose2percapita_Unknown","vac.dose1percapita_total","vac.dose2percapita_total"
3504909,0.120622214136269,0.0255617210952424,0,0.0816883471299918,0,0,0.146183935231511,0.0816883471299918
3505005,0,0,0,0,0,0,0,0
3505104,0.0921264059989288,0.0174076057846813,0,0.0607927155865024,0,0,0.10953401178361,0.0607927155865024
3505203,0.104224084594184,0.0306541425277012,0,0.060267731593453,0,0,0.134878227121885,0.060267731593453
3505302,0.113408625366772,0.0336599678901622,0,0.0628633117422355,2.7680894646515e-05,0,0.147068593256934,0.062890992636882
3505351,0,0,0,0,0,0,0,0
3505401,0,0,0,0,0,0,0,0
3505500,0.122393819250527,0.0369851749936906,0,0.0844642726303192,0.000138399290093053,0,0.159378994244218,0.0846026719204123
3505609,0.0557564798071127,0.0163351416515973,0,0.0420132610006028,3.01386377335744e-05,0,0.0720916214587101,0.0420433996383363
3505708,0.0753767392826971,0.0242578940147735,0,0.0587258377800723,4.33241149244355e-05,0,0.0996346332974706,0.0587691618949968
3505807,0.108099078890851,0.0295423089772348,0,0.0658616904500549,4.77258626449673e-05,0,0.137641387868086,0.0659094163126999
3505906,0.100285805017466,0.0246903778977453,0,0.0507303906001905,7.93902826294062e-05,0,0.124976182915211,0.0508097808828199
3506003,0.116684286983551,0.0355025217705387,0,0.083230291829358,7.38207789674055e-05,0,0.15218680875409,0.0833041126083254
3506102,0.11890916124041,0.0292179743407904,0,0.0703500741409322,6.44703758622913e-05,0,0.1481271355812,0.0704145445167945
3506201,0,0,0,0,0,0,0,0
3506300,0,0,0,0,0,0,0,0
3506359,0.0688008899463869,0,0,0.0500903851799206,0,0,0.0688008899463869,0.0500903851799206
3506409,0.137982013059012,0.0327707281015153,0,0.0952322286559074,0.000123198225945546,0,0.170752741160527,0.0953554268818529
3506508,0.0918779978059464,0.0248232345475365,0,0.0491500044041223,5.60524651073405e-05,0,0.116701232353483,0.0492060568692296
3506607,0.0746903084770464,0.0162132620840418,0,0.0539834831187758,0,0,0.0909035705610882,0.0539834831187758
3506706,0,0,0,0,0,0,0,0
3506805,0.0877770639254738,0.0265820751686476,0,0.0535656922582718,0,0,0.114359139094121,0.0535656922582718
3506904,0.0966361882392417,0.0216424796577468,0,0.0421944467745994,0,0,0.118278667896989,0.0421944467745994
