"city_code","workingHours_less14h","workingHours_15to39h","workingHours_40to44h","workingHours_45to48h","workingHours_49hplus","working_hours.avg"
1709302,3.3,17.47,54.79,10.66,13.79,39.9047
1709500,4.79,17.71,50.31,10.48,16.71,39.6436
1709807,5.58,14.26,74.31,1.05,4.8,38.68185
1710508,6.7,30.27,53.87,4.54,4.62,36.1112
1710706,3.38,19.81,72.28,1.72,2.81,38.3562
1710904,12.79,27.81,47.67,2.82,8.9,34.993
1711100,9.86,29.04,33.3,19,8.79,36.3493
1711506,6.28,24.87,40.41,13.29,15.14,38.16475
1711803,10.71,25.19,58.34,1.88,3.88,35.5789
1711902,10.11,14.38,63.83,6.34,5.34,37.6713
1711951,4.08,29.25,43.97,10.62,12.09,37.7985
1712009,5.3,20.28,38.94,30.53,4.95,39.19435
1712157,6.6,26.71,21.05,8.19,37.46,39.14045
1712405,47.08,7.32,44.71,0,0.9,27.7868
1712454,10.28,13.09,53.09,8.03,15.5,38.60025
1712504,6.13,16.29,61.99,7.61,7.99,38.74605
1712702,7.6,33.54,38.87,11.24,8.76,35.9642
1712801,2.68,28.31,61.71,3.17,4.12,37.42995
1713205,3.9,20.98,52.08,11.09,11.95,39.09655
1713304,4.61,22.33,46.32,13.37,13.37,38.89725
1713601,6.9,18.32,45.87,20.28,8.64,38.8416
1713700,6.91,20.16,56.06,1.38,15.49,38.1876
1713809,3.41,20.11,48.7,20.28,7.5,39.4663
1713957,2.97,14.9,64.25,8.99,8.89,39.96025
1714203,2,12.19,55.58,17.57,12.66,41.28835
1714302,4.83,31.59,62.04,0.25,1.29,36.01065
1714880,9.64,25.18,49.76,5.77,9.66,36.46385
1715002,4.14,19.08,54.56,9.61,12.61,39.29395
1715101,4.06,25.79,40.83,19.42,9.9,38.5616
1715150,6.15,19.4,39.63,18.12,16.7,39.3524
1715259,16.59,20.46,41.02,9.28,12.66,35.5938
1715507,2.61,21.27,45.56,10.58,19.98,39.9534
1715705,10.76,32.59,37.63,13.71,5.31,35.08735
1715754,3.49,17.42,40.52,13.97,24.6,40.76045
1716109,2.59,18.29,44.65,17.03,17.44,40.51845
1716208,11.3,14.73,34.88,30.21,8.88,38.60755
1716307,12.79,19.1,33.11,10.04,24.95,37.7479
1716505,6.19,17.32,53.22,16,7.27,38.8977
1716604,7.74,17.02,38.19,23.93,13.12,39.27505
1716653,9.24,29.32,37.84,10.44,13.16,36.4058
1716703,15.44,10.96,41.01,16.94,15.65,37.8906
1717008,3.74,26.45,43.45,21.14,5.22,38.302
1717206,0.14,8.51,70.73,8.58,12.05,41.9181
1717503,5.77,32.96,42.78,12.24,6.26,36.4336
1717800,12.34,19.73,57.46,1.32,9.16,36.2901
1717909,3.37,21.43,52.67,15.19,7.35,39.04415
1718006,2.13,22.22,66.67,3.42,5.56,38.6137
1718204,5.1,21.09,50.99,12.85,9.98,38.68955
1718303,5.68,20.08,61.29,6.84,6.11,38.1331
1718402,7.76,24.67,56.35,3.38,7.84,36.8276
1718451,1.88,20.63,69.33,4.33,3.82,38.83715
1718501,2.54,26.83,55.34,3.86,11.42,38.2332
1718550,0.38,36.51,57.3,1.16,4.65,36.7948
1718659,3.64,26.56,52.49,5.74,11.57,38.065
1718709,8.08,16.56,56.03,11.68,7.65,38.3147
1718758,4.92,47.2,39.44,5.01,3.43,34.00795
1718808,3.46,21.48,51.19,10.61,13.27,39.21975
1718840,11.23,17.4,55.12,7.83,8.42,37.18735
1718865,4.76,13.6,45.49,18.44,17.7,40.6918
1718881,1.02,26.46,57.44,4.54,10.54,38.6875
1718899,2.49,15.61,64.34,11.61,5.95,39.90025
