"city_code","bolsa.familia_familiesPer100Khab","bolsa.familia_valuePerHab"
3169802,3908.73015873016,5.70793650793651
3169901,1919.48213791194,2.28941082802548
3170008,12048.1927710843,24.8574962100056
3170057,9077.05877636116,15.7866249699302
3170107,1622.01190593889,2.75670420602607
3170206,1666.55817620298,2.6608631501291
3170305,13366.5262351589,35.4542320949828
3170404,3952.45206096376,5.838950911375
3170438,8921.93308550186,17.9697955390335
3170479,15042.8921568627,30.6341911764706
3170503,3292.14134002703,6.39071249275922
3170529,7204.26919656092,14.2200415060777
3170578,10648.1481481481,23.4657407407407
3170602,5248.49047840223,9.7756618671621
3170651,12202.9159177152,26.1571799480727
3170701,1210.55194086664,2.06248247982413
3170750,3396.81637293917,5.80244457077885
3170800,5165.47236219077,6.59830856101081
3170909,14389.2339544513,25.5546583850932
3171006,3579.40747935891,4.78071879553181
3171030,11491.1811865313,27.7096739711384
3171071,11206.2937062937,20.8555944055944
3171105,2650.66266566642,5.86896724181045
3171154,12419.9214713784,21.9832610043397
3171204,3565.80277584031,7.92223415176997
3171303,3136.49392486619,5.08573675265708
3171402,8398.0044345898,17.27522172949
3171501,16203.5591632844,37.4976584452076
3171600,9249.56369982548,14.3384235020361
3171709,6421.4895088771,7.80424256398432
3171808,4890.58039961941,7.41874405328259
3171907,10724.907063197,17.6152416356877
3172004,3352.59843999624,4.66290762146415
3172103,11214.7753236862,26.6614623000762
3172202,3722.57053291536,6.05877742946708
3200102,7637.48120054927,11.796083175309
3200136,6191.66148102053,9.72474590333956
3200169,15436.9725020419,24.6971594518559
3200201,3932.32282941098,6.25372290918761
3200300,3246.35298952127,5.32730634888021
3200359,10490.045941807,15.9823889739663
3200409,5365.13686224926,11.1268154324574
3200508,11444.4297608035,16.5925730144047
3200607,3703.81347559771,6.88524007113219
3200706,3376.34048257373,5.9486427613941
3200805,6061.68139879992,9.2611781405252
3200904,5643.89697648376,8.75652855543113
3201001,7827.35918068764,13.9082928775687
3201100,5414.653784219,8.29468599033816
3201159,7441.14801676878,9.58674621089971
3201209,2700.36177095496,5.12391133740405
3201308,4757.59602397157,9.82155867658051
3201407,2664.25107902169,4.35554430649544
3201506,2348.5906007396,2.95276696136295
3201605,6435.30888838812,11.6698966616232
