"city_code","pop.density2010","pop.urbanDensity"
1503804,25.57,3700.86449743704
1503903,5.67,2787.62403005674
1504000,16.79,9324.6954607978
1504059,59.43,3078.50082357483
1504109,25.07,2490.08893890675
1504208,15.45,2501.06732265556
1504307,33.1,3781.52418888532
1504406,33.42,817.213087157209
1504422,1047.44,4142.69033444588
1504455,3.3,2196.31777310924
1504505,3.66,6863.83892145369
1504604,30.7,5691.49275198188
1504703,7.7,3173.09401026811
1504802,3.06,2305.89726331361
1504901,9.08,7833.44825072886
1504950,7.17,3710.88695454545
1504976,9.36,3475.48818635607
1505007,27.91,1615.5311645708
1505031,0.66,935.021469641821
1505064,4.03,3081.62696802859
1505106,1.76,3620.64717820406
1505205,7.42,4292.70653685675
1505304,0.58,3764.14255736586
1505403,29,3094.3632038065
1505437,1.91,1268.90849762067
1505486,3.38,2129.0134384073
1505494,7.59,1993.49969094923
1505502,5.06,3824.16036184211
1505536,22.12,2500.73519544093
1505551,3.61,2176.13843648208
1505601,17.4,1796.8698194325
1505635,3.83,1678.88680131517
1505650,3.34,1494.44535123967
1505700,7.73,4049.85876198779
1505809,2.06,7373.09869853918
1505908,1.95,4545.6105914718
1506005,1.98,3759.91564740616
1506104,39.71,2785.25992317542
1506112,38.28,3806.50061349693
1506138,19.76,2039.33308201094
1506161,4.3,2865.62907321202
1506187,5.7,3813.57236108242
1506195,5.71,3153.37294429708
1506203,157.57,1629.63496751881
1506302,19.42,1232.54852579853
1506351,61.62,2320.95287569573
1506401,7.58,4482.45539358601
1506500,82.86,2468.11699178645
1506559,14.32,2241.31589147287
1506583,1.67,1258.94109097127
1506609,50.31,1969.13800654059
1506708,4.84,2486.73084053086
1506807,12.87,2744.56456302596
1506906,26.76,2147.61064552661
1507003,49.61,2148.84447768961
1507102,22.72,3181.95033259423
1507151,16.61,2417.24396642183
1507201,17.79,1809.99670475684
1507300,1.08,2902.88675637394
1507409,31.4,1992.9427480916
1507458,8.08,2222.20331576263
1507466,26.87,2033.44265232975
1507474,29.25,2074.52245542348
1507508,10.28,2658.2286
1507607,46.45,3334.1949681897
1507706,14.03,7927.91567055394
