"city_code","pop.urban","pop.rural"
2205805,53.67,46.33
2205854,43.04,56.96
2205904,63.59,36.41
2205953,85.86,14.14
2206001,86.29,13.71
2206050,15.05,84.95
2206100,45.79,54.21
2206209,33.17,66.83
2206308,68.79,31.21
2206357,25.13,74.87
2206407,51.38,48.62
2206506,47.15,52.85
2206605,28.82,71.18
2206654,34.51,65.49
2206670,35.36,64.64
2206696,19.96,80.04
2206704,47.85,52.15
2206720,20.48,79.52
2206753,29.92,70.08
2206803,45,55
2206902,50.48,49.52
2206951,28.1,71.9
2207009,61.72,38.28
2207108,40.52,59.48
2207207,35.33,64.67
2207306,58.54,41.46
2207355,42.4,57.6
2207405,35.33,64.67
2207504,38.87,61.13
2207553,13.43,86.57
2207603,51.96,48.04
2207702,94.36,5.64
2207751,54.6,45.4
2207777,27.67,72.33
2207793,14.8,85.2
2207801,53.86,46.14
2207850,48.95,51.05
2207900,60.45,39.55
2207934,34.03,65.97
2207959,16.81,83.19
2208007,79.42,20.58
2208106,40.87,59.13
2208205,29.94,70.06
2208304,69.85,30.15
2208403,72.03,27.97
2208502,63.07,36.93
2208551,70.42,29.58
2208601,82.72,17.28
2208650,13.52,86.48
2208700,63.51,36.49
2208809,78.63,21.37
2208858,52.39,47.61
2208874,24.16,75.84
2208908,65,35
2209005,65.26,34.74
2209104,67.48,32.52
2209153,56.06,43.94
2209203,58.14,41.86
2209302,56.39,43.61
2209351,39.43,60.57
2209377,70.98,29.02
2209401,65.26,34.74
2209450,39.19,60.81
2209500,62.97,37.03
2209559,23.67,76.33
2209609,53.47,46.53
2209658,25.67,74.33
2209708,31.49,68.51
2209757,43.15,56.85
2209807,69.58,30.42
2209856,27.74,72.26
2209872,40.51,59.49
2209906,55.99,44.01
2209955,29.86,70.14
2209971,50.45,49.55
2210003,68.91,31.09
2210052,52.64,47.36
2210102,51.05,48.95
2210201,29.27,70.73
2210300,41.02,58.98
2210359,25.14,74.86
2210375,31.78,68.22
2210383,64.36,35.64
2210391,36.46,63.54
2210409,36.81,63.19
2210508,60.09,39.91
2210607,65.78,34.22
2210623,31.24,68.76
2210631,46.7,53.3
2210656,33.02,66.98
2210706,40.12,59.88
2210805,59.31,40.69
2210904,36.05,63.95
2210938,25.4,74.6
2210953,54.92,45.08
2210979,47.29,52.71
2211001,94.27,5.73
2211100,49.15,50.85
2211209,76.95,23.05
2211308,77.72,22.28
2211357,23.35,76.65
2211407,59.52,40.48
2211506,32.35,67.65
2211605,24.67,75.33
2211704,27.24,72.76
2300101,43.37,56.63
2300150,52.04,47.96
2300200,49.07,50.93
2300309,49.31,50.69
2300408,24.38,75.62
2300507,32.01,67.99
2300606,72.3,27.7
2300705,49.15,50.85
2300754,40.65,59.35
2300804,71.58,28.42
2300903,41.45,58.55
2301000,92.37,7.63
2301109,63.67,36.33
2301208,54.1,45.9
2301257,46.76,53.24
2301307,61.56,38.44
2301406,32.69,67.31
2301505,50.71,49.29
2301604,53.25,46.75
2301703,48.14,51.86
2301802,54.83,45.17
2301851,50.55,49.45
2301901,68.73,31.27
2301950,41.52,58.48
2302008,61.17,38.83
2302057,67.49,32.51
2302107,73.34,26.66
2302206,43.83,56.17
2302305,42.09,57.91
2302404,50.68,49.32
2302503,62.08,37.92
2302602,74.23,25.77
2302701,71.99,28.01
2302800,62.94,37.06
2302909,36.41,63.59
2303006,57.56,42.44
2303105,45.24,54.76
2303204,53.16,46.84
2303303,44.76,55.24
2303402,47.53,52.47
2303501,84.9,15.1
2303600,46.56,53.44
2303659,54.21,45.79
2303709,89.18,10.82
2303808,61.81,38.19
2303907,72.68,27.32
2303931,29.52,70.48
2303956,60.41,39.59
2304004,64.79,35.21
2304103,72.3,27.7
2304202,83.11,16.89
2304236,52.95,47.05
2304251,42.57,57.43
2304269,45.44,54.56
2304277,50.56,49.44
2304285,100,0
2304301,46.67,53.33
2304350,71.02,28.98
2304400,100,0
2304459,64.84,35.16
2304509,58.78,41.22
2304608,58.67,41.33
2304657,38.64,61.36
2304707,49.18,50.82
2304806,29.6,70.4
2304905,69.18,30.82
2304954,78.36,21.64
2305001,46.07,53.93
2305100,59.92,40.08
2305209,57.2,42.8
2305233,92.5,7.5
2305266,34.41,65.59
2305308,45.12,54.88
2305332,50.66,49.34
2305357,31.46,68.54
2305407,46.54,53.46
2305506,77.34,22.66
2305605,44.86,55.14
2305654,36.46,63.54
2305704,59.4,40.6
2305803,63.48,36.52
2305902,48.49,51.51
2306009,71.56,28.44
2306108,64.25,35.75
2306207,58.49,41.51
2306256,99.3,0.7
2306306,70.3,29.7
2306405,57.65,42.35
2306504,47.35,52.65
2306553,42.53,57.47
2306603,50.4,49.6
2306702,47.41,52.59
2306801,69.35,30.65
2306900,67.62,32.38
2307007,59.36,40.64
2307106,33.7,66.3
2307205,58.6,41.4
2307254,32.68,67.32
2307304,96.07,3.93
2307403,59.44,40.56
2307502,58.32,41.68
2307601,57.73,42.27
2307635,49.29,50.71
2307650,99.32,0.68
2307700,76,24
2307809,62.48,37.52
2307908,78.39,21.61
2308005,68.15,31.85
2308104,52.63,47.37
2308203,54.19,45.81
2308302,47.87,52.13
2308351,45.61,54.39
2308377,53.49,46.51
2308401,44.99,55.01
2308500,44.08,55.92
2308609,56.04,43.96
2308708,57.04,42.96
2308807,44.66,55.34
2308906,46.43,53.57
2309003,64.29,35.71
2309102,36.55,63.45
2309201,68.01,31.99
2309300,75.07,24.93
2309409,51.83,48.17
2309458,31.68,68.32
2309508,74.91,25.09
2309607,81.95,18.05
2309706,85.89,14.11
2309805,40.88,59.12
2309904,62.2,37.8
2310001,50.92,49.08
