"votes_pct.JB","totalVotos","city_UF","city_code"
0.125587278641128,5534,"CAEM (ba)",2905107
0.0875210019856423,6547,"CAETANOS (ba)",2905156
0.20661185455296,29069,"CAETITÉ (ba)",2905206
0.228181427343078,9304,"CAFARNAUM (ba)",2905305
0.299291418288157,8891,"CAIRU (ba)",2905404
0.116812556595231,6626,"CALDEIRÃO GRANDE (ba)",2905503
0.368053158439765,11588,"CAMACÃ (ba)",2905602
0.351125178523179,129535,"CAMAÇARI (ba)",2905701
0.347260411776541,14911,"CAMAMU (ba)",2905800
0.105573052170341,14606,"CAMPO ALEGRE DE LOURDES (ba)",2905909
0.23561352142667,37570,"CAMPO FORMOSO (ba)",2906006
0.18059114983769,5853,"CANÁPOLIS (ba)",2906105
0.164712194374186,13047,"CANARANA (ba)",2906204
0.327180783817952,15820,"CANAVIEIRAS (ba)",2906303
0.189667896678967,5420,"CANDEAL (ba)",2906402
0.152548926937206,46549,"CANDEIAS (ba)",2906501
0.200960472848171,8121,"CANDIBA (ba)",2906600
0.223875968992248,12900,"CÂNDIDO SALES (ba)",2906709
0.10529971150764,18718,"CANSANÇÃO (ba)",2906808
0.212568306010929,5490,"CARAÍBAS (ba)",2906899
0.294536296945144,9133,"CARAVELAS (ba)",2906907
0.0922190201729106,4858,"CARDEAL DA SILVA (ba)",2907004
0.295885087780168,14411,"CARINHANHA (ba)",2907103
0.165211743309951,38490,"CASA NOVA (ba)",2907202
0.141414141414141,15246,"CASTRO ALVES (ba)",2907301
0.194370483073412,2629,"CATOLÂNDIA (ba)",2907400
0.20730356524749,28890,"CATU (ba)",2907509
0.132584712371946,5076,"CATURAMA (ba)",2907558
0.191566009747828,9438,"CENTRAL (ba)",2907608
0.129988597491448,6139,"CHORROCHÓ (ba)",2907707
0.210086878032269,17726,"CÍCERO DANTAS (ba)",2907806
0.274107040967705,8763,"CIPÓ (ba)",2907905
0.329683698296837,10686,"COARACI (ba)",2908002
0.291155466031862,10922,"COCOS (ba)",2908101
0.203372139702931,12455,"CONCEIÇÃO DA FEIRA (ba)",2908200
0.155723416618245,10326,"CONCEIÇÃO DO ALMEIDA (ba)",2908309
0.351130299536081,37291,"CONCEIÇÃO DO COITÉ (ba)",2908408
0.25678544786825,17427,"CONCEIÇÃO DO JACUÍPE (ba)",2908507
0.19287193648602,11588,"CONDE (ba)",2908606
0.290084278430965,9611,"CONDEÚBA (ba)",2908705
0.204924242424242,2640,"CONTENDAS DO SINCORÁ (ba)",2908804
0.165988934071062,15001,"CORAÇÃO DE MARIA (ba)",2908903
0.347514554411106,4466,"CORDEIROS (ba)",2909000
0.21437154530161,8322,"CORIBE (ba)",2909109
0.120972058666096,9341,"CORONEL JOÃO SÁ (ba)",2909208
0.215553385790592,17411,"CORRENTINA (ba)",2909307
0.166292431647074,7571,"COTEGIPE (ba)",2909406
0.155980502437195,2667,"CRAVOLÂNDIA (ba)",2909505
0.139003578309937,10899,"CRISÓPOLIS (ba)",2909604
0.211540837761028,8093,"CRISTÓPOLIS (ba)",2909703
0.298118789773362,35828,"CRUZ DAS ALMAS (ba)",2909802
0.140784402629789,17644,"CURAÇÁ (ba)",2909901
0.168353444920202,5138,"DÁRIO MEIRA (ba)",2910008
0.107147610807933,7513,"DOM BASÍLIO (ba)",2910107
0.25448275862069,2900,"DOM MACEDO COSTA (ba)",2910206
0.210120068610635,4664,"ELÍSIO MEDRADO (ba)",2910305
0.236209476309227,10025,"ENCRUZILHADA (ba)",2910404
0.182618314736437,20792,"ENTRE RIOS (ba)",2910503
0.194538849173796,17066,"ESPLANADA (ba)",2910602
0.15524113192507,30108,"EUCLIDES DA CUNHA (ba)",2910701
0.343122565178304,3337,"FEIRA DA MATA (ba)",2910776
0.371492538276416,309982,"FEIRA DE SANTANA (ba)",2910800
0.270200387847447,3094,"FIRMINO ALVES (ba)",2910909
0.253438511326861,4944,"FLORESTA AZUL (ba)",2911006
0.268406413612565,12224,"FORMOSA DO RIO PRETO (ba)",2911105
0.369335650314129,14962,"GANDU (ba)",2911204
0.152671755725191,6681,"GENTIO DO OURO (ba)",2911303
0.0935537881958979,9556,"GLÓRIA (ba)",2911402
0.161135928525846,3134,"GONGOGI (ba)",2911501
0.208020050125313,11970,"GOVERNADOR MANGABEIRA (ba)",2911600
0.322678620054042,47741,"GUANAMBI (ba)",2911709
0.260431956384986,9538,"GUARATINGA (ba)",2911808
0.161805296531145,13405,"IAÇU (ba)",2911907
0.30161370820163,6011,"IBIASSUCÊ (ba)",2912004
0.375921980003278,12202,"IBICARAÍ (ba)",2912103
0.278947368421053,9120,"IBICOARA (ba)",2912202
0.248772274449277,7127,"IBICUÍ (ba)",2912301
0.117708770457407,9532,"IBIPEBA (ba)",2912400
0.205397923875433,14450,"SANTA RITA DE CÁSSIA (ba)",2928406
0.212837417589252,8039,"IBIPITANGA (ba)",2912509
0.131051344743276,2045,"IBIQUERA (ba)",2912608
0.234701375039362,9527,"IBIRAPITANGA (ba)",2912707
0.469567081011573,4666,"IBIRAPUÃ (ba)",2912806
0.324453280318091,10060,"IBIRATAIA (ba)",2912905
0.252975817566721,7981,"IBITIARA (ba)",2913002
0.13032319391635,10520,"IBITITÁ (ba)",2913101
0.297393709959231,13736,"IBOTIRAMA (ba)",2913200
0.191431401684002,4038,"ICHU (ba)",2913309
0.112770048637032,8841,"IGAPORÃ (ba)",2913408
0.211006076975017,5924,"IGRAPIÚNA (ba)",2913457
0.298954942607504,11674,"IGUAÍ (ba)",2913507
0.393175239367624,89820,"ILHÉUS (ba)",2913606
0.196459679685305,17795,"INHAMBUPE (ba)",2913705
0.145655704425497,9852,"IPECAETÁ (ba)",2913804
0.313837848077287,21116,"IPIAÚ (ba)",2913903
0.175834667980781,32468,"IPIRÁ (ba)",2914000
0.271274685816876,5570,"IPUPIARA (ba)",2914109
0.168254832561939,3673,"IRAJUBA (ba)",2914208
0.21310861423221,5340,"IRAMAIA (ba)",2914307
0.0762384815310704,12697,"IRAQUARA (ba)",2914406
0.166646077825818,16190,"IRARÁ (ba)",2914505
0.261348359600698,34961,"IRECÊ (ba)",2914604
0.325659505982786,14291,"ITABELA (ba)",2914653
0.25051121316751,29831,"ITABERABA (ba)",2914703
0.486892681426814,104064,"ITABUNA (ba)",2914802
0.237361097206928,9989,"ITACARÉ (ba)",2914901
0.237012987012987,7084,"ITAETÉ (ba)",2915007
0.278066142666469,6743,"ITAGI (ba)",2915106
0.28468612554978,7503,"ITAGIBÁ (ba)",2915205
0.345157232704402,3975,"ITAGIMIRIM (ba)",2915304
0.108458591217212,6786,"ITAGUAÇU DA BAHIA (ba)",2915353
0.441706161137441,3165,"ITAJU DO COLÔNIA (ba)",2915403
0.311290322580645,11160,"ITAJUÍPE (ba)",2915502
0.448140043763676,29705,"ITAMARAJU (ba)",2915601
0.270596941292551,4054,"ITAMARI (ba)",2915700
0.293021201413428,11320,"ITAMBÉ (ba)",2915809
0.132416396979504,3708,"ITANAGRA (ba)",2915908
0.387496284553651,10093,"ITANHÉM (ba)",2916005
0.187748291752741,12586,"ITAPARICA (ba)",2916104
0.329105583923571,6071,"ITAPÉ (ba)",2916203
0.236218980867589,5279,"ITAPEBI (ba)",2916302
0.536871123363198,31922,"ITAPETINGA (ba)",2916401
0.102909912304013,15052,"ITAPICURU (ba)",2916500
0.260499871167225,3881,"ITAPITANGA (ba)",2916609
0.255232029117379,4396,"ITAQUARA (ba)",2916708
0.403442948576473,9062,"ITARANTIM (ba)",2916807
0.253866465484723,7953,"ITATIM (ba)",2916856
0.272193321027018,5959,"ITIRUÇU (ba)",2916906
0.24559887676855,18518,"ITIÚBA (ba)",2917003
0.356896381741102,10143,"ITORORÓ (ba)",2917102
0.290692124105012,10475,"ITUAÇU (ba)",2917201
0.316449348044132,11964,"ITUBERÁ (ba)",2917300
0.202588416196822,7804,"JACARACI (ba)",2917409
0.237071568319606,41401,"JACOBINA (ba)",2917508
0.300924101081768,22833,"JAGUAQUARA (ba)",2917607
0.219774749548877,16071,"JAGUARARI (ba)",2917706
0.132071389940508,9245,"JAGUARIPE (ba)",2917805
0.145304080061586,5196,"JANDAÍRA (ba)",2917904
0.333432084135684,81012,"JEQUIÉ (ba)",2918001
0.141872182444975,18855,"JEREMOABO (ba)",2918100
0.210127306536976,6991,"JIQUIRIÇÁ (ba)",2918209
0.253998968008256,7752,"JITAÚNA (ba)",2918308
0.302818988511358,114722,"JUAZEIRO (ba)",2918407
0.234945705824284,5065,"JUCURUÇU (ba)",2918456
0.0689173457508732,8590,"JUSSARA (ba)",2918506
0.230751760163525,4403,"JUSSIAPE (ba)",2918605
