"city_code","pop.edu.kindergarten","pop.edu.pre","pop.edu.literacy","pop.edu.literacy_adults","pop.edu.elem","pop.edu.elem_adults","pop.edu.high","pop.edu.high_adults","pop.edu.undergrad","pop.edu.grad","pop.edu.master","pop.edu.doc","pop.edu.public","pop.edu.private"
1303502,2.03,8.5,11.6,4.19,58.83,3.91,9,0.83,1.06,0.05,0,0,99.81,0.19
1303536,3.19,9.71,4.02,3.38,55.94,5.41,9.49,3.13,5.6,0.12,0,0,89.4,10.6
1303569,2.02,6.49,7.72,0.67,59.15,4.38,11.99,3.56,3.56,0.32,0.14,0,93.45,6.55
1303601,1.08,7.3,9.45,2.18,53.12,4.53,15.93,3.98,2.3,0.14,0,0,98.4,1.6
1303700,2.33,9.76,9.74,5.71,54.33,5.67,9.02,2.02,1.33,0.09,0,0,99.1,0.9
1303809,2.75,9.06,10.83,2.31,56.17,3.4,9.95,3,2.35,0.08,0.06,0.05,97.18,2.82
1303908,1.33,8.87,8.86,2.23,62.94,1.74,10.33,1.76,1.94,0,0,0,99.45,0.55
1303957,0.49,8.13,7.07,0.36,61.44,2.85,13.29,2.7,3.06,0.61,0,0,99.48,0.52
1304005,2.86,6.4,7.07,0.82,59.49,2.9,15.3,3.37,1.56,0.22,0,0,99.19,0.81
1304062,1.43,7.36,6.02,1.49,59.49,2.62,12.75,2.51,6.03,0.14,0.15,0,96.07,3.93
1304104,4.04,4.94,7.3,4.32,59.76,4.32,9.34,3.91,2,0.08,0,0,99.53,0.47
1304203,1.45,7.53,3.54,1.11,60.74,5.74,11.1,3.08,5.23,0.4,0.04,0.05,97.2,2.8
1304237,2.27,12.83,8.9,5.02,50.18,5.2,12.19,2.13,1.26,0.02,0,0,98.63,1.37
1304260,3.86,11.14,8.39,1.7,57.56,4.93,7.77,2.15,2.5,0,0,0,99.61,0.39
1304302,2.38,10.18,9.23,0.69,57.61,2.98,14.35,1.78,0.56,0.24,0,0,98.44,1.56
1304401,2.01,5.55,6.57,0.07,63.15,4.04,12.91,4.52,1.19,0,0,0,98.4,1.6
1400027,4.41,10.1,17.33,2.11,48.27,4.07,9.93,1.81,1.43,0.54,0,0,98.99,1.01
1400050,3.29,14.67,3.74,2.52,51.01,0.83,12.38,1.78,8.91,0.66,0.2,0,95.5,4.5
1400100,3,7.96,5.81,1.38,44.48,2.55,13.77,3.77,15.84,1,0.39,0.04,79.33,20.67
1400159,4.7,8.75,10.35,1.84,53.86,2.01,12.48,2.49,3.26,0.27,0,0,98.47,1.53
1400175,5.75,11.38,6.54,2.24,53.15,2.67,11.85,1.7,3.98,0.59,0.04,0.11,96.2,3.8
1400209,3.63,7.21,7.68,0.18,54.43,4.4,12.32,3.02,6.74,0.32,0.06,0,97.45,2.55
1400233,1.29,9.14,2.67,6.24,55.81,1.51,11.04,2.75,8.79,0.67,0.09,0,95.4,4.6
1400282,7.28,7.19,4.16,3.26,53.82,1.75,14.32,1.65,5.76,0.44,0.37,0,96.77,3.23
1400308,2.41,8.16,9.49,0.83,51.68,2.31,12.9,2.49,8.03,1.32,0.38,0,92.25,7.75
1400407,7.03,10.23,6.62,0.74,54.23,2.92,10.7,4.18,2.57,0.68,0,0.1,98.9,1.1
1400456,7.82,9.4,5.36,1.2,56.26,0.89,11.54,2.76,4.43,0.34,0,0,97.41,2.59
1400472,2.91,9.43,8.52,1.81,54.31,2.01,13.22,1.89,5.1,0.68,0.11,0,96,4
1400506,3.91,9.26,4.83,2.3,51.33,2.05,13.18,3.06,8.58,1.52,0,0,97.17,2.83
