"city_code","time.5min","time.6_30min","time.30_60min","time.1_2h","time.2hplus","time.avg"
3168051,38.85,48.72,9.85,2.22,0.36,17.5746
3168101,14.42,74.7,9.98,0.9,0,19.468
3168200,16.6,61.03,16.95,4.47,0.96,24.6179
3168309,19.39,54.06,20.6,4.6,1.35,25.7303
3168408,25.01,56.43,14.59,3.81,0.16,21.5944
3168507,11.59,69.14,17.23,1.77,0.28,22.7072
3168606,12.28,66.87,17.95,2.19,0.72,23.5631
3168705,9.84,65.53,20.86,3.28,0.48,25.2024
3168804,13.78,76.1,9.29,0.57,0.26,19.3925
3168903,25.16,49.93,14.31,9.04,1.56,26.6929
3169000,17.66,73.78,7.69,0.78,0.08,18.4219
3169059,27.49,55.81,15.57,0.78,0.36,19.5608
3169109,23.56,59.24,14.95,2.13,0.12,20.6297
3169208,25.17,63.85,9.46,1.34,0.17,18.4185
3169307,11.02,57.81,26.82,3.87,0.48,27.0848
3169356,11.46,73.33,11.73,2.91,0.57,22.3539
3169406,16.01,59.56,21.95,2.16,0.32,23.7268
3169505,38.46,43.54,13.46,4.16,0.38,20.0172
3169604,21.32,61.08,12.77,3.83,1.01,22.4659
3169703,27.93,58.75,10.43,2.42,0.46,19.395
3169802,21.64,61.92,14.24,2.09,0.11,20.6486
3169901,12.43,72.85,12.93,1.38,0.4,21.275
3170008,19.06,58.58,13.44,6.77,2.14,26.2064
3170057,24.76,57.69,14.75,2.49,0.32,20.8847
3170107,10.14,63.72,20.51,4.9,0.73,26.4921
3170206,10.27,58.78,24.52,5.84,0.59,28.0919
3170305,34.51,51.21,9.98,3.59,0.71,19.5173
3170404,19.67,66.75,8.17,3.46,1.94,22.117
3170438,17.73,49.06,28.14,3.83,1.24,27.3153
3170479,42.41,39.16,15.64,1.85,0.94,19.0003
3170503,12.92,57.61,25.73,2.98,0.76,26.1883
3170529,22.53,56.05,14.09,6.11,1.22,24.519
3170578,20.59,59.35,15.58,3.48,1,23.0555
3170602,31.97,46.05,18.01,3.69,0.27,21.637
3170651,17.64,65.17,16.08,0.9,0.21,20.9106
3170701,11.58,65.62,19.9,2.47,0.43,24.0846
3170750,21.39,50.62,24.55,2.54,0.89,24.5826
3170800,16.1,70.82,9.42,2.23,1.42,21.5026
3170909,21.71,62.27,12.14,2.28,1.59,21.7171
3171006,19.33,67.22,9.77,2.02,1.67,21.2846
3171030,21.28,52.45,15.98,7.47,2.83,27.815
3171071,22.05,54.34,16,6.15,1.46,25.3707
3171105,12.98,50.93,31.79,3.76,0.53,28.1419
3171154,25.78,50.76,18.12,4.49,0.86,23.6528
3171204,5.94,31.55,35.55,24.7,2.25,46.9035
3171303,11.96,68.94,17,1.87,0.23,22.6162
3171402,32.58,52.93,11.11,1.97,1.41,19.6209
3171501,27.15,51.61,19.76,1.48,0,20.8713
3171600,21.54,57.98,13.41,5.32,1.75,24.4359
3171709,19.51,58.09,17.33,3.48,1.59,24.2702
3171808,19.71,65.09,10.41,3.54,1.25,22.0722
3171907,20.69,55.62,17.72,4.49,1.49,24.8491
3172004,15.16,71.5,12.3,0.92,0.11,20.123
3172103,20.63,61.28,12.85,2.87,2.37,23.2714
3172202,15.06,43.14,37.69,3.62,0.49,29.3247
3200102,22.56,63.53,10.07,3.36,0.48,20.6949
3200136,37.75,56.2,5.39,0.56,0.09,15.041
