"city_code","metro_class"
4218400,"metro"
4203956,"metro"
4206207,"metro"
4218707,"metro"
4200200,"metro"
4200309,"metro"
4201802,"metro"
4201901,"metro"
4202859,"metro"
4204194,"metro"
4205100,"metro"
4207403,"metro"
4209151,"metro"
4209508,"metro"
4209904,"metro"
4210852,"metro"
4212700,"metro"
4213708,"metro"
4214003,"metro"
4214102,"metro"
4214508,"metro"
4214607,"metro"
4215307,"metro"
4215679,"metro"
4218608,"metro"
4219200,"metro"
4219358,"metro"
4219408,"metro"
4206900,"metro"
4208500,"metro"
4214805,"metro"
4217808,"metro"
4200051,"metro"
4200408,"metro"
4200754,"metro"
4201273,"metro"
4201604,"metro"
4202875,"metro"
4203006,"metro"
4203154,"metro"
4203600,"metro"
4203907,"metro"
4204004,"metro"
4204152,"metro"
4204301,"metro"
4205209,"metro"
4205506,"metro"
4206702,"metro"
4206751,"metro"
4206801,"metro"
4207577,"metro"
4207601,"metro"
4207700,"metro"
4207809,"metro"
4208609,"metro"
4209003,"metro"
4209201,"metro"
4209706,"metro"
4209854,"metro"
4210035,"metro"
4210050,"metro"
4210704,"metro"
4211058,"metro"
4211801,"metro"
4212601,"metro"
4213005,"metro"
4213104,"metro"
4213906,"metro"
4214409,"metro"
4215406,"metro"
4217907,"metro"
4218251,"metro"
4218509,"metro"
4219150,"metro"
4219176,"metro"
4219309,"metro"
4219853,"metro"
4200101,"metro"
4200804,"metro"
4202537,"metro"
4202578,"metro"
4203105,"metro"
4203501,"metro"
4204459,"metro"
4205175,"metro"
4205431,"metro"
4205605,"metro"
4207684,"metro"
4207858,"metro"
4208955,"metro"
4209177,"metro"
4210902,"metro"
4211009,"metro"
4211652,"metro"
4211850,"metro"
4212007,"metro"
4215075,"metro"
4215356,"metro"
4215687,"metro"
4215695,"metro"
4215752,"metro"
4216107,"metro"
4216909,"metro"
4217154,"metro"
4217956,"metro"
4202081,"metro"
4202099,"metro"
4202156,"metro"
4204707,"metro"
4204905,"metro"
4205001,"metro"
4205357,"metro"
4206405,"metro"
4206603,"metro"
4207650,"metro"
4207759,"metro"
4208401,"metro"
4210506,"metro"
4212239,"metro"
4214151,"metro"
4215208,"metro"
4215554,"metro"
4216255,"metro"
4216701,"metro"
4217204,"metro"
4218756,"metro"
4202057,"metro"
4202107,"metro"
4202131,"metro"
4203303,"metro"
4203808,"metro"
4204509,"metro"
4205803,"metro"
4206504,"metro"
4207908,"metro"
4208104,"metro"
4208450,"metro"
4208906,"metro"
4210100,"metro"
4210308,"metro"
4210605,"metro"
4211108,"metro"
4212205,"metro"
4213609,"metro"
4215000,"metro"
4215802,"metro"
4216206,"metro"
4216354,"metro"
4217402,"metro"
4218301,"metro"
4201307,"metro"
4209102,"metro"
4201257,"metro"
4201703,"metro"
4202206,"metro"
4202701,"metro"
4202909,"metro"
4205159,"metro"
4206306,"metro"
4207106,"metro"
4210001,"metro"
4214706,"metro"
4215109,"metro"
4202404,"metro"
4205902,"metro"
4207502,"metro"
4213203,"metro"
4218202,"metro"
1100015,"non-metro/urban"
1100023,"non-metro/urban"
1100031,"non-metro/urban"
1100049,"non-metro/urban"
1100056,"non-metro/urban"
1100064,"non-metro/urban"
1100072,"non-metro/urban"
1100080,"non-metro/urban"
1100098,"non-metro/urban"
1100106,"non-metro/urban"
1100114,"non-metro/urban"
1100122,"non-metro/urban"
1100130,"non-metro/urban"
1100148,"non-metro/urban"
1100155,"non-metro/urban"
1100189,"non-metro/urban"
1100254,"non-metro/urban"
1100262,"non-metro/urban"
1100288,"non-metro/urban"
1100296,"non-metro/urban"
1100304,"non-metro/urban"
1100320,"non-metro/urban"
1100338,"non-metro/urban"
1100346,"non-metro/urban"
1100379,"non-metro/urban"
1100403,"non-metro/urban"
1100452,"non-metro/urban"
1100502,"non-metro/urban"
1100601,"non-metro/urban"
1100700,"non-metro/urban"
1100908,"non-metro/urban"
1100924,"non-metro/urban"
1100940,"non-metro/urban"
1101005,"non-metro/urban"
1101104,"non-metro/urban"
1101203,"non-metro/urban"
1101302,"non-metro/urban"
1101401,"non-metro/urban"
1101435,"non-metro/urban"
1101450,"non-metro/urban"
1101468,"non-metro/urban"
1101476,"non-metro/urban"
1101484,"non-metro/urban"
1101492,"non-metro/urban"
1101500,"non-metro/urban"
1101559,"non-metro/urban"
1101609,"non-metro/urban"
1101708,"non-metro/urban"
1101757,"non-metro/urban"
1101807,"non-metro/urban"
1200013,"non-metro/urban"
1200054,"non-metro/urban"
1200104,"non-metro/urban"
