"city_code","pop.1rooms","pop.2rooms","pop.3rooms","pop.4rooms","pop.5rooms","pop.6rooms","pop.7rooms","pop.8rooms","pop.9rooms","pop.10plusrooms","pop.room.avg"
1715150,0,0.49,2.57,8.92,21.06,24.53,20.92,10.95,7.14,3.42,6.2935
1715259,0.99,1.88,4.17,17.45,22.93,19.69,17.76,6.04,4.46,4.62,5.7883
1715507,1.09,1.55,7.56,10.42,40.41,14.47,11.58,7.07,3.63,2.22,5.4991
1715705,1.36,7.39,16.29,28.66,23.26,8.62,7.27,2.85,1.96,2.34,4.624
1715754,0.87,2.95,6.44,12.43,22.35,20.14,16.81,9.25,4.34,4.42,5.8333
1716109,0.59,2.35,7.4,11.29,24.03,19.73,13.4,9.37,4.93,6.91,5.9341
1716208,1.76,6.71,10.1,20.02,20.61,18.05,10.47,5.14,3.17,3.95,5.1935
1716307,0.96,4.15,7.54,19.79,32.03,15.77,11.95,3.58,2.16,2.07,5.1824
1716505,0.48,5.77,10.36,12.84,22.6,17.31,12.81,8.04,4.33,5.47,5.5898
1716604,1,3.06,7.94,20.46,33.6,16,8.66,4.97,2.5,1.82,5.1786
1716653,1.39,4.94,8.55,22.88,25.64,14.4,8.8,7.23,4.08,2.07,5.199
1716703,0,1.35,6.81,13.28,33.61,20.35,12.77,5.35,3.3,3.17,5.5999
1717008,0.64,3.2,10.34,16.67,22.11,15.99,16.71,8.82,3.85,1.68,5.5021
1717206,0.38,6.02,13.65,33.61,20.15,13.66,7.82,2.76,0.9,1.04,4.6584
1717503,0.78,4.36,7.12,14.84,30.57,17.25,12.75,6.4,2.39,3.53,5.4383
1717800,0.21,1.46,4.54,12.56,23.14,25.14,13.05,9.69,3.97,6.23,6.0043
1717909,0.5,4.26,7.19,18.95,27.17,16.73,11.71,8.56,2.71,2.21,5.3956
1718006,0,2.29,3.82,12.75,22.97,22.11,18.53,11.06,2.65,3.82,5.9479
1718204,0.73,2.79,6.78,13.76,25.57,18.2,13.37,8.1,3.96,6.75,5.8027
1718303,0.2,2.21,7.12,30.68,28.5,18.27,7.04,3.59,1.5,0.88,5.0112
1718402,1.05,1.25,10.29,17.27,24.7,16.58,12.81,6.7,3.96,5.4,5.5939
1718451,0.22,1.82,8.31,21.89,23.51,19.67,10.59,7.07,3.04,3.88,5.4877
1718501,2.58,9.3,25.13,25.01,15.48,11.31,5.73,3.13,1.75,0.59,4.2867
1718550,0.72,4.58,16.57,29.31,18.96,18.31,5.31,3.2,2.35,0.7,4.7241
1718659,0,1.25,3.89,31.42,24.37,15.51,14.01,4.72,1.83,3,5.3706
1718709,1.04,3.46,9.46,21.71,25.02,19.89,10.35,5.65,2.61,0.82,5.1696
1718758,1.57,5.26,13.79,16.07,27.06,15.07,7.48,8.75,2.97,1.99,5.1245
1718808,1.55,2.6,8,30.39,28.65,12.95,8.1,3.86,2.31,1.59,4.9753
1718840,0,1.29,6.59,21.36,34.03,18.17,10.45,3.52,2.58,2.02,5.3169
1718865,0.91,4.11,10.4,32,22.17,14.08,8.57,4.09,2.12,1.55,4.9095
1718881,2.15,4.22,12.45,19.43,24.06,16,10.02,8.12,2.24,1.3,5.1022
1718899,0.64,2.18,6.12,22.64,32.04,13.65,10.37,6.22,3.95,2.2,5.3592
1718907,0.42,2.74,8.13,16.95,25.46,18.63,14.97,7.17,3.74,1.8,5.5098
1719004,0.63,2.55,7.41,17.77,22.6,23.73,12.96,9.09,0.8,2.46,5.4966
1720002,0.3,2.23,7.52,16.3,25.14,21.45,9.74,9.91,5.4,2.02,5.6318
1720101,0.47,4.75,9.4,25.45,26.09,20.73,6.74,4.06,1.85,0.46,4.9571
1720150,0.87,5.87,24.08,13.33,31.33,11.04,5.86,3.99,1.25,2.39,4.6915
1720200,0.87,3.42,9.12,24.76,25.39,20.02,7.43,3.85,2.47,2.67,5.1292
1720259,1.06,3.31,8.04,20.09,26.82,20.45,11.3,6.56,1.14,1.22,5.23
1720309,0.25,2.88,9.28,41.91,19.82,15.19,4.39,3.24,1.99,1.05,4.7679
1720499,0.68,3.41,4.68,14.49,32.55,20.63,12.57,5.19,2.93,2.87,5.5061
1720655,0.58,1.69,3.3,16.06,27.62,27.05,13.02,7.47,2.16,1.06,5.5944
1720804,0.52,2.07,7.14,22.63,24.06,23.65,9.69,5.55,2.47,2.21,5.3536
1720853,0.33,2.85,9.07,22.26,23.48,18.95,9.56,5.94,3.9,3.64,5.3932
1720903,0.26,0.93,5.2,14.04,21.61,22.48,16.5,9.53,4.79,4.67,5.9836
1720937,0,2.21,6.32,12.91,25.91,16.35,16.41,10.74,6.23,2.92,5.8873
1720978,1,5.15,5.68,29.61,15.83,19.03,10.63,6.68,1.13,5.26,5.3073
1721000,0.87,6.82,16.01,14.09,22.52,12.45,10.68,7.11,3.74,5.71,5.286
1721109,5.12,11.37,16,16.56,17.28,14.46,7.81,6.33,1.96,3.11,4.6931
1721208,0.14,2.96,6.91,26.37,21.04,17.88,9.99,7.76,3.49,3.44,5.4257
1721257,1.05,8.39,15.86,18.53,27.35,14.04,6.99,3.41,2.05,2.33,4.7848
1721307,0,2.25,6.21,41.04,21.07,15.05,5.35,4.18,2.03,2.82,5.003
1722081,0.94,4.41,7.9,28.51,21.81,17.4,9.28,4.32,1.39,4.04,5.1338
1722107,0.42,3.51,5.58,26.33,24.41,17.75,11.26,4.26,2.86,3.62,5.3289
2100055,0.87,4.05,8.89,20.7,25.73,19.04,11.07,5.06,2.39,2.19,5.2271
2100105,0.75,1.11,11.16,25.68,26.29,21.88,5.44,4.03,1.33,2.34,5.0759
2100154,0.85,2.66,5.74,14.53,19.43,27.99,15.69,8.21,2.5,2.42,5.6881
2100204,0.7,2.96,10.51,42.42,22.03,10.5,6.33,2.69,1.26,0.59,4.6405
2100303,0.3,2.15,15.34,28.66,26.33,16.71,5.8,1.62,1.82,1.26,4.7971
2100402,0,1.27,5.61,22.72,21.08,27.25,9.04,5.88,3.67,3.48,5.573
2100436,0.52,2.27,12.18,28.48,25.38,16.89,8.15,3.76,1.49,0.89,4.932
2100477,0.44,2.86,10.11,31.18,17.29,20.9,8.75,5.57,2.26,0.65,5.0571
2100501,0.32,4.54,5.96,16.08,22.88,18.6,12.34,10.13,5.22,3.93,5.713
2100550,2.49,4.57,9.46,29.79,21.37,20.02,6.26,3.37,1.54,1.12,4.8198
2100600,4.25,6.69,13.18,25.81,20.29,13.67,7.44,4.13,2.49,2.06,4.7201
2100709,0.86,3.08,14.17,33.13,19.42,16.75,7.05,3.91,1.15,0.48,4.7543
2100808,0.69,2.65,5.54,16.9,21.95,29.06,12.32,6.27,1.95,2.68,5.5507
2100832,0.62,3.25,12.09,29.76,20.73,17.47,9.12,3.17,1.89,1.89,4.9601
2100873,3.37,2.39,5.93,27.61,26.25,20.26,5.54,5.06,2.14,1.44,5.0211
2100907,1.02,4.99,13.28,22.3,18.81,20.35,8.78,6.13,1.9,2.43,5.0809
2100956,2,6.76,11.78,26.56,20.5,18.1,6.48,4.35,2.1,1.38,4.8106
2101004,0.18,1.8,9.41,23.95,20.09,22.93,10,7.44,2.13,2.07,5.3523
2101103,1.51,2.86,10.9,21.23,24,15,9.77,6.31,4.28,4.14,5.3364
2101202,0.65,3.05,8.67,22.3,22.38,19.6,11.55,5.56,2.94,3.32,5.3645
2101251,0.59,4.22,12.17,33.83,17.26,15.96,8.42,3.96,1.86,1.73,4.8758
2101301,0.45,1.59,8.86,35.23,24.1,18.03,5.89,3.56,1.47,0.81,4.9085
2101350,1.19,4.25,17.4,29.82,23.11,12.44,6.95,2.94,1.11,0.8,4.6152
2101400,1.59,4.31,8.92,16.11,21.87,18.32,13.27,7.87,3.67,4.07,5.5026
2101509,0.67,2.11,4.16,11.39,21.54,24.19,13.83,11.98,5.02,5.11,6.047
2101608,1.87,2.93,8.82,21.15,22.85,19.76,10.93,7.03,2.13,2.53,5.2882
2101707,1.51,5.04,8.14,24.25,22.35,19.07,10.83,4.08,2.77,1.98,5.1236
2101731,0.58,3.88,15.24,31.29,22.25,16.57,4.63,2.74,1.29,1.53,4.7113
2101772,0.14,2.44,10.43,26.06,23.28,21.11,7.48,4.7,3.29,1.07,5.1388
2101806,0.4,1.44,4.26,12.83,20.28,27.42,13.48,11.76,2.88,5.25,6.0016
2101905,0.56,3.05,11.7,42.22,15.84,16.39,6.22,2.48,1.02,0.5,4.6574
2101939,1.17,1.32,3.33,19.97,22.1,25.33,10.79,7.34,3.32,5.32,5.7349
