"city_code","area.urban"
1400027,1.178
1400050,2.546
1400100,132.98
1100403,12.21
1400472,10.397
1400506,3.756
1400605,5.003
1400704,0.77
1100015,9.774
1100023,34.879
1100031,1.848
1100049,29.965
1100056,8.014
1100064,11.652
1100072,1.411
1100098,12.97
1100106,18.641
1100114,19.273
1100122,61.856
1100130,13.633
1100148,6.11
1100155,11.956
2514453,1.159
1100189,21.388
1100205,139.722
1100452,10.624
1100254,8.289
1100262,0.749
1100288,24.621
1100296,4.309
1100304,56.612
1100320,6.295
1100338,13.552
1100346,6.608
1100379,4.34
1100502,1.355
1100601,1.479
1100700,1.674
1100809,8.586
1100908,0.769
1100924,2.653
1100940,11.742
1101005,1.889
1101104,4.01
1101203,1.254
1101302,3.27
1101401,3.528
1101435,0.644
1101450,1.081
1101468,1.127
1101476,1.237
1101484,0.949
1101807,1.532
4300034,1.005
4300059,1.98
4300109,4.071
4300208,2.096
4300307,1.9
4300406,27.088
4300455,2.081
4300471,1.656
4300505,1.541
4300554,1.457
4300570,1.758
4300604,36.429
4300638,1.605
4300646,2.227
4300661,0.526
4300703,1.387
4300802,5.919
4300851,4.858
4300877,4.864
4300901,2.944
4301008,10.75
4301057,20.711
4301958,1.333
4301073,0.83
4301107,11.599
4301206,4.707
4301305,8.21
4301404,4.404
4301503,1.958
4301552,1.263
4301602,42.034
1507102,2.255
4301636,15.411
4301651,5.351
4301701,3.647
4301750,0.82
4301800,2.405
4301859,0.737
4301875,1.056
4301909,4.832
4301925,0.392
4302006,2.107
4302105,55.191
4302154,1.222
4302204,2.895
4302220,0.447
4302238,0.519
4302253,0.5
4302303,6.982
4302352,10.648
4302378,0.955
4302402,5.111
4302451,1.157
4302501,2.214
4302584,1.12
4302600,1.53
1507755,1.245
4302659,3.226
4302709,10.181
4302808,12.167
4302907,7.192
4303004,46.51
4313003,1.286
4303103,29.721
4303202,1.364
4303301,2.106
4303400,1.362
4303509,19.362
4303558,1.263
4304606,85.467
4303608,2.607
4303673,1.055
4303707,1.935
4303806,2.946
4303905,22.427
4304002,2.619
4304101,1.951
4304614,0.44
4304622,0.931
4304200,10.562
4304309,0.896
4304358,3.996
4304408,19.22
4304507,8.394
4306056,2.492
4304630,24.92
4304655,1.383
4304663,14.012
4304671,3.334
4304689,4.363
4304697,1.091
4304705,42.374
4304713,2.706
4304804,10.283
4304853,0.329
4304903,3.982
4304952,1.401
4305009,4.141
4306072,1.253
4313011,0.671
4305108,178.282
4305116,0.87
4305124,3.145
4306502,1.665
4321956,2.519
4305132,1.835
4305157,1.245
4305173,1.629
4305207,6.644
4305306,3.753
4307104,2.026
4305355,16.497
4305371,0.627
4305405,1.969
4305439,7.082
4305447,0.639
4305454,12.15
4305504,1.433
4305587,0.922
4305603,2.576
4305702,1.897
4307203,1.732
4305801,3.289
4305835,0.4
4305850,1.702
4305871,1.173
4305900,3.095
4305934,0.286
4305959,1.909
4305975,1.43
4306007,3.712
2603207,2.344
4306106,43.846
4306130,0.435
4306205,6.721
4306304,1.252
4306320,0.749
4306353,0.594
4306379,1.532
4306403,16.699
4306429,0.545
4306452,1.382
4306551,0.908
4306601,17.144
4306700,2.94
4306734,2.166
4306759,1.051
4306767,29.958
4307005,38.381
4306809,12.609
4306908,11.811
4306924,0.483
4306932,3.163
4306957,1.793
4306973,1.951
4307054,1.945
4307302,1.94
4307401,1.677
4307450,1.136
4307500,5.971
4307559,3.472
4307831,1.514
4307864,1.536
4308458,2.324
2603306,0.721
4307609,18.846
4307708,16.854
4307807,13.059
4307815,1.542
4307906,26.971
4308003,3.109
4308052,1.012
4308078,1.369
4308300,2.722
4308102,8.416
4308201,13.046
4308250,0.32
4308409,1.579
4308433,0.576
4308508,9.692
4308607,23.19
4308656,0.909
4308706,2.331
4308805,2.863
4319356,2.047
4308854,0.792
4308904,8.909
4309001,6.454
4309050,2.851
4309407,8.982
4309506,2.233
4309555,3.065
4309100,19.465
4309126,0.362
4309159,0.351
4309571,0.436
4309605,8.278
4309654,1.84
4309704,1.739
4309209,89.287
4309258,0.61
4309308,24.804
4309753,0.77
4309803,2.258
4309902,2.007
4309951,1.296
4310009,7.367
4310108,14.007
4310462,0.753
4310504,2.244
4319364,0.4
4310207,28.567
4310306,1.635
4310330,18.953
4310363,1.411
4310405,3.325
4310413,1.134
4310439,1.987
4310538,8.155
4310553,0.788
4310579,0.497
4310603,12.005
4310652,0.473
4310702,1.303
4310751,0.738
4310801,10.568
4310850,1.136
4310876,0.597
4310900,1.931
4311007,9.599
4311106,3.551
4311122,1.056
4311130,0.705
4311155,1.172
4311205,9.454
4311239,0.338
4311254,1.181
4311270,1.288
4313037,1.715
4311304,10.882
4311403,38.281
4311429,0.466
4311502,2.538
4311601,1.118
4312302,1.602
2603405,0.462
4311627,2.802
4311643,0.683
4311700,2.447
4311718,1.463
4311734,0.682
4311759,2.719
4311775,1.345
4311791,0.58
4311809,15.917
4312351,0.647
4311908,1.617
4311981,0.717
4312005,0.671
4312054,1.619
4312104,2.243
4312138,0.641
4312153,2.311
4312179,0.745
4312203,1.811
4312252,4.375
4319372,1.397
4312377,0.718
4312385,0.623
4312401,24.584
4312427,0.521
4312443,1.467
4312450,1.908
4312476,4.948
4312500,8.237
4312609,2.623
4312617,1.34
4312625,0.465
4312658,9.041
4312674,0.913
4312708,4.296
4312757,1.226
4312807,3.035
4312906,4.049
4312955,0.874
2604304,1.057
4313060,6.288
4313086,0.637
4313102,2.155
4313201,14.946
4313300,10.836
4313334,0.951
4313359,1.351
4313375,17.571
4313391,0.825
4313409,63.349
4313425,1.978
4313441,0.504
4313466,0.627
4313490,0.999
4314209,4.721
4313508,22.469
4313607,1.734
4313656,13.18
4313706,16.239
4313805,2.109
4314308,2.026
4313904,17.583
4313953,5.152
4314001,2.912
4314027,2.727
4314035,1.993
4314407,115.862
4323754,1.516
4314050,18.771
4314068,2.131
4314076,1.457
4314423,5.706
4314456,0.774
4314464,0.668
4314100,58.826
4314134,0.703
4314159,3.764
4314175,0.526
4315057,0.747
4314472,1.935
4314498,0.572
4314506,3.346
4314555,0.927
4314605,5.161
4314704,4.817
4314753,1.616
4314779,1.451
4314787,0.714
4314803,17.124
4314902,306.36
4315008,1.836
4315107,2.873
4315131,0.635
4315149,2.712
4315156,1.689
4315172,0.456
4315206,1.963
4315305,6.996
4315313,0.625
4315321,0.562
4323770,1.782
4315354,3.008
4315404,2.311
4315453,0.845
4315503,4.057
4315552,0.411
4315958,1.827
4317251,0.837
4320677,1.774
4315602,69.923
4316402,12.226
4316428,0.691
4316436,1.795
4315701,12.024
4315750,2.191
4315800,4.785
4315909,3.966
4316733,0.876
4316006,11.114
4316105,3.726
4316204,1.594
4316303,2.835
4316758,3.151
4316451,6.895
4316477,1.54
4316501,2.148
4316600,6.042
4316709,4.847
4316808,57.688
4316907,100.049
4316956,4.488
4316972,0.983
4317004,1.803
4317103,30.471
4317202,34.312
2401206,1.264
4317301,16.246
4317400,27.799
4317509,31.783
4317558,0.804
2401305,1.552
4317608,26.528
4317707,5.885
4317756,1.61
2401404,0.816
4317806,6.077
4317905,5.456
4317954,0.844
4318002,33.285
4318051,1.359
4318101,7.9
4318200,8.93
4318309,23.281
4318408,12.08
4318424,1.587
4318432,1.8
4318440,1.022
4318457,0.723
4318465,1.005
4318481,4.266
4318499,0.868
2404101,0.417
4318507,6.438
4318606,3.774
4318614,1.702
4318622,1.866
4318705,63.695
4319208,5.016
4318804,12.534
4318903,21.835
4319000,11.958
4319109,2.316
4319125,1.557
4319158,4.374
4319406,8.997
4319505,13.978
4319604,10.467
4319703,1.837
4319711,2.005
4319737,0.607
4319752,3.489
4319802,6.439
4319901,24.692
4320008,30.194
4320107,8.48
4320206,3.654
4320230,1.271
4320701,5.316
4320263,1.769
4320305,2.439
4320321,1.66
4320354,0.988
4320404,7.257
4320453,0.553
4320503,2.84
4320552,1.366
4320578,0.638
4320602,0.637
4320651,1.037
4320800,12.486
4320859,2.179
4320909,9.033
4321006,7.019
4321105,8.981
4321204,26.419
4321469,1.977
4321303,15.22
4321329,1.357
4321352,1.916
4321402,7.533
4321436,4.41
4321451,19.192
4321477,2.443
4321493,1.289
4321501,26.367
4321600,25.897
4321626,1.776
4321634,1.043
4321667,6.237
4321709,11.912
4321808,11.087
4321832,0.648
4321857,1.642
4321907,12.09
5206503,1.62
4322004,23.606
4322103,2.944
4322152,1.528
4322186,0.596
4322202,10.397
4322251,4.243
4322301,3.694
4322327,1.307
4322343,1.22
4322350,0.601
4322376,0.752
4322400,43.272
4322509,25.871
2407252,0.662
4322525,1.501
4322533,2.135
4322541,5.33
4322558,0.785
4322608,25.711
4322707,9.727
2407203,2.886
4322806,12.254
4322855,0.62
4322905,1.98
4323200,1.577
4323309,3.053
4323358,0.556
4323408,3.008
4323457,2.456
4323507,0.924
