"city_code","pop.residPerHouse"
2301109,3.48
2301208,3.6
2301257,3.41
2301307,3.72
2301406,3.95
2301505,3.62
2301604,3.5
2301703,3.45
2301802,3.51
2301851,3.78
2301901,3.76
2301950,3.53
2302008,3.52
2302057,3.91
2302107,3.63
2302206,3.49
2302305,3.83
2302404,3.46
2302503,3.73
2302602,3.83
2302701,3.48
2302800,3.72
2302909,3.71
2303006,3.81
2303105,3.59
2303204,3.73
2303303,3.35
2303402,3.66
2303501,3.51
2303600,3.73
2303659,3.62
2303709,3.64
2303808,3.39
2303907,3.92
2303931,3.91
2303956,3.45
2304004,3.7
2304103,3.35
2304202,3.57
2304236,3.53
2304251,3.62
2304269,3.28
2304277,3.62
2304285,3.61
2304301,3.52
2304350,3.52
2304400,3.44
2304459,3.55
2304509,3.46
2304608,3.94
2304657,3.52
2304707,3.97
2304806,3.94
2304905,3.39
2304954,3.76
2305001,3.7
2305100,3.88
2305209,3.44
2305233,3.51
2305266,3.74
2305308,3.68
2305332,3.51
2305357,3.5
2305407,3.58
2305506,3.35
2305605,3.4
2305654,3.25
2305704,3.39
2305803,3.56
2305902,3.45
2306009,3.44
2306108,3.98
2306207,3.17
2306256,3.71
2306306,3.73
2306405,3.87
2306504,3.77
2306553,4.19
2306603,3.94
2306702,3.45
2306801,3.63
2306900,3.39
2307007,3.34
2307106,3.9
2307205,3.49
2307254,3.52
2307304,3.6
2307403,3.51
2307502,3.59
2307601,3.27
2307635,3.75
2307650,3.61
2307700,3.9
2307809,4.11
2307908,3.76
2308005,3.8
2308104,3.8
2308203,3.9
2308302,3.6
2308351,3.4
2308377,3.95
2308401,3.77
2308500,3.55
2308609,3.5
2308708,3.4
2308807,3.79
2308906,3.87
2309003,3.33
2309102,3.91
2309201,3.57
2309300,3.32
2309409,3.42
2309458,3.53
2309508,3.26
2309607,3.51
2309706,3.86
2309805,3.79
2309904,3.41
2310001,3.39
2310100,3.89
2310209,3.62
2310258,3.65
2310308,3.48
2310407,3.74
2310506,3.51
2310605,3.57
2310704,3.58
2310803,3.61
2310852,3.48
2310902,3.47
2310951,3.66
2311009,3.53
2311108,3.63
2311207,3.62
2311231,3.57
2311264,3.48
2311306,3.62
2311355,3.22
2311405,3.49
2311504,3.29
2311603,3.56
2311702,3.48
2311801,3.41
2311900,3.49
2311959,3.93
2312007,3.98
2312106,3.8
2312205,3.6
2312304,3.65
2312403,3.64
2312502,3.06
2312601,3.43
2312700,3.32
2312809,3.74
2312908,3.71
2313005,3.32
2313104,3.19
2313203,3.67
2313252,3.57
2313302,3.42
2313351,3.91
2313401,3.77
2313500,3.84
2313559,3.77
2313609,3.63
2313708,3.49
2313757,3.93
2313807,3.77
2313906,3.62
2313955,3.6
2314003,3.32
2314102,4.05
2400109,3.34
2400208,3.57
2400307,3.68
2400406,3.74
2400505,3.42
2400604,3.38
2400703,3.42
2400802,3.53
2400901,3.3
2401008,3.47
2401107,3.48
2401206,3.74
2401305,3.55
2401404,3.93
2401453,3.57
2401503,3.46
2401602,3.9
2401651,3.49
2401701,3.53
2401800,3.52
2401859,3.73
2401909,3.7
2402006,3.34
2402105,3.57
2402204,4.01
2402303,3.33
2402402,3.29
2402501,3.52
2402600,3.91
2402709,3.57
2402808,3.43
2402907,3.74
2403004,3.24
2403103,3.4
2403202,3.65
2403251,3.34
2403301,3.53
2403400,3.37
2403509,3.54
2403608,3.77
2403707,3.41
2403756,3.33
2403806,3.52
2403905,3.43
2404002,3.25
2404101,3.75
2404200,4.01
2404309,3.57
2404408,3.32
2404507,3.72
2404606,3.63
2404705,3.66
2404804,3.24
2404853,3.67
2404903,3.32
2405009,3.41
2405108,3.64
2405207,3.52
2405306,3.65
2405405,3.45
2405504,3.56
2405603,3.5
2405702,3.14
2405801,3.76
2405900,3.46
2406007,3.25
2406106,3.35
2406155,3.43
2406205,3.69
2406304,3.57
2406403,3.53
2406502,3.79
2406601,3.62
2406700,3.51
2406809,3.51
2406908,3.42
2407005,3.69
2407104,3.56
2407203,3.39
2407252,3.52
2407302,3.44
2407401,3.4
2407500,3.98
2407609,3.54
2407708,3.68
2407807,3.62
2407906,3.45
2408003,3.53
2408102,3.4
2408201,3.63
2408300,3.61
2408409,3.33
2408508,3.38
2408607,3.52
2408706,3.48
2408805,3.98
2408904,3.34
2408953,3.89
2409100,3.62
2409209,3.43
2409308,3.28
2409332,3.62
2409407,3.44
2409506,3.85
2409605,3.88
2409704,3.6
2409803,3.69
2409902,3.47
2410009,3.6
2410108,4.14
2410207,3.42
2410256,3.59
2410306,3.78
2410405,3.9
2410504,3.48
2410603,3.19
2410702,3.44
2410801,3.39
2410900,3.82
2411007,3.55
2411056,3.59
2411106,3.71
2411205,3.6
2411403,3.41
2411429,3.47
2411502,3.47
2411601,3.73
2411700,3.8
2411809,3.39
2411908,3.31
2412005,3.58
2412104,3.21
2412203,3.67
2412302,3.58
2412401,3.4
2412500,3.57
2412559,3.92
2412609,3.48
2412708,3.61
2412807,3.35
2412906,3.45
2413003,3.32
2413102,3.63
2413201,3.76
2413300,3.62
2413359,3.65
2413409,3.61
2413508,3.68
2413557,3.31
2413607,3.32
2413706,3.52
2413805,3.36
2413904,3.87
2414001,3.61
2414100,3.71
2414159,3.5
2414209,3.52
2414308,3.39
2414407,3.92
2414456,3.64
2414506,3.4
2414605,3.5
2414704,3.38
2414753,4.1
2414803,3.84
2414902,3.36
2415008,4.16
2500106,3.69
2500205,3.33
2500304,3.55
2500403,3.62
2500502,3.67
2500536,3.34
2500577,3.5
2500601,3.57
2500700,3.38
2500734,3.28
2500775,3.47
2500809,3.43
2500908,3.23
2501005,3.6
2501104,3.75
2501153,3.95
2501203,3.29
2501302,3.51
2501351,3.37
2501401,3.81
2501500,3.68
2501534,3.25
2501575,3.38
2501609,3.37
2501708,3.43
2501807,3.56
2501906,3.3
2502003,3.62
2502052,3.83
2502102,3.84
2502151,3.59
2502201,3.43
2502300,3.32
2502409,3.85
2502508,3.47
2502607,3.55
2502706,3.64
2502805,3.61
2502904,3.39
2503001,3.72
2503100,3.33
2503209,3.36
2503308,3.66
2503407,3.44
2503506,3.62
2503555,3.76
2503605,3.43
2503704,3.37
2503753,3.67
2503803,3.3
2503902,3.09
2504009,3.43
2504033,3.83
2504074,3.26
2504108,4.01
2504157,3.62
2504207,3.68
2504306,3.48
2504355,3.42
2504405,3.57
2504504,3.45
2504603,3.68
2504702,3.17
2504801,3.47
2504850,3.01
2504900,3.85
2505006,3.38
2505105,3.39
2505204,3.61
2505238,3.58
2505279,3.55
2505303,3.84
2505352,3.56
2505402,3.45
2505501,3.8
2505600,3.75
2505709,3.55
2505808,3.37
2505907,3.99
2506004,3.41
2506103,3.51
2506202,3.04
2506251,3.75
2506301,3.39
2506400,3.57
2506509,3.35
2506608,3.41
2506707,3.9
2506806,3.46
2506905,3.28
2507002,3.6
2507101,3.55
2507200,3.59
2507309,3.42
2507408,3.57
2507507,3.37
2507606,3.41
2507705,3.73
2507804,3.5
2507903,3.52
2508000,3.62
2508109,3.56
2508208,3.39
2508307,3.6
2508406,3.85
2508505,3.49
2508554,3.56
2508604,3.76
2508703,3.39
2508802,3.4
2508901,3.65
2509008,3.67
2509057,3.72
2509107,3.34
2509156,3.52
2509206,3.42
2509305,3.76
2509339,3.8
2509370,3.75
2509396,3.54
2509404,3.45
2509503,3.44
2509602,3.44
2509701,3.15
2509800,3.44
2509909,3.71
2510006,3.45
2510105,3.32
2510204,3.6
2510303,3.32
2510402,3.7
2510501,3.42
2510600,3.11
2510659,3.12
2510709,3.31
2510808,3.47
2510907,3.55
2511004,3.74
2511103,3.32
2511202,3.65
2511301,3.33
2511400,3.35
2511509,3.52
2511608,4.04
2511707,3.6
2511806,3.51
2511905,3.59
2512002,3.56
2512036,3.78
2512077,3.35
2512101,3.45
2512200,3.33
2512309,3.52
2512408,3.51
2512507,3.42
2512606,3.87
2512705,3.51
2512721,3.34
2512747,3.51
2512754,3.33
2512762,3.55
2512788,3.59
2512804,3.73
2512903,3.46
2513000,3.66
2513109,3.37
2513158,3.67
2513208,3.4
2513307,3.22
2513356,3.81
2513406,3.37
2513505,3.77
2513604,3.62
2513653,3.47
2513703,3.57
2513802,3.62
2513851,3.31
2513901,3.65
2513927,3.45
2513943,3.38
2513968,3.44
2513984,3.34
2514008,3.3
2514107,3.04
2514206,3.4
2514305,4.09
2514404,3.64
2514453,3.6
2514503,3.55
2514552,3.82
2514602,3.67
2514651,3.97
2514701,3.52
2514800,3.16
2514909,3.3
2515005,3.76
2515104,3.53
2515203,3.09
2515302,3.56
2515401,3.89
2515500,3.15
2515609,3.57
2515708,3.46
2515807,3.21
2515906,3.62
2515930,3.41
2515971,3.62
2516003,3.47
2516102,3.48
2516151,3.44
2516201,3.49
2516300,3.01
2516409,3.97
2516508,3.51
2516607,3.71
2516706,3.52
2516755,3.68
2516805,3.6
2516904,3.42
2517001,3.55
2517100,3.15
2517209,3.56
2517407,3.08
2600054,3.34
2600104,3.22
2600203,3.71
2600302,3.3
2600401,4.18
2600500,3.7
2600609,3.35
2600708,3.63
2600807,3.16
2600906,3.54
2601003,3.4
2601052,3.74
2601102,3.74
2601201,3.38
2601300,3.8
2601409,3.8
2601508,3.69
2601607,4.01
2601706,3.25
2601805,3.62
2601904,3.04
2602001,3.93
2602100,3.58
2602209,3.46
2602308,3.46
2602407,3.63
2602506,3.42
2602605,3.4
2602704,3.51
2602803,3.95
2602902,3.45
2603009,3.76
2603108,3.2
2603207,3.79
2603306,3.55
2603405,3.41
2603454,3.4
2603504,3.27
2603603,3.6
2603702,3.56
2603801,3.8
2603900,3.45
2603926,4.5
2604007,3.49
2604106,3.26
2604155,3.78
2604205,3.73
2604304,3.91
2604403,3.57
2604502,3.4
2604601,3.56
2604700,3.96
2604809,3.71
2604908,3.37
2605004,3.23
2605103,3.34
2605152,3.63
2605202,3.5
2605301,3.86
2605400,3.3
2605459,3.66
2605509,3.67
2605608,3.29
2605707,4.05
2605806,3.18
2605905,4.01
2606002,3.45
2606101,3.51
2606200,3.52
2606309,3.81
2606408,3.25
2606507,3.83
2606606,3.83
2606705,3.27
2606804,3.42
2606903,3.25
2607000,4.58
2607109,3.45
2607208,3.65
2607307,3.88
2607406,3.82
2607505,3.74
2607604,3.36
2607653,3.74
2607703,3.09
2607752,3.53
2607802,3.63
2607901,3.27
2607950,3.91
2608008,3.4
2608057,3.63
2608107,3.31
2608206,3.77
2608255,3.54
2608305,3.45
2608404,3.48
2608453,3.46
2608503,3.54
2608602,3.55
2608701,3.34
2608750,3.74
2608800,3.32
2608909,3.3
2609006,3.58
2609105,3.78
2609154,4.36
2609204,3.88
2609303,3.97
2609402,3.44
2609501,3.54
2609600,3.33
2609709,3.59
2609808,3.87
2609907,3.88
2610004,3.8
2610103,3.51
2610202,3.51
2610301,3.51
2610400,3.98
2610509,3.31
2610608,3.61
2610707,3.31
2610806,3.54
2610905,3.38
2611002,3.77
2611101,3.64
2611200,3.33
2611309,3.32
2611408,3.6
2611507,3.82
2611533,3.74
2611606,3.25
2611705,3.18
2611804,3.71
2611903,4.04
2612000,3.15
2612109,4.07
2612208,3.73
2612307,3.4
2612406,3.67
2612455,3.77
2612471,3.52
2612505,3.37
2612554,3.7
2612604,4.02
2612703,3.43
2612802,3.64
2612901,4.37
2613008,3.62
2613107,3.29
2613206,3.67
2613305,3.3
2613404,3.7
2613503,3.7
2613602,3.16
2613701,3.39
2613800,3.66
2613909,3.43
2614006,4.15
2614105,3.47
2614204,3.98
2614303,3.77
2614402,3.71
2614501,3.34
2614600,3.32
2614709,3.25
2614808,3.85
2614857,3.87
2615003,3.36
2615102,3.65
2615201,3.82
2615300,3.54
2615409,3.48
2615508,3.58
2615607,3.78
2615706,3.45
2615805,3.96
2615904,3.05
2616001,3.55
2616100,3.76
2616183,3.41
2616209,3.31
2616308,3.8
2616407,3.28
2616506,3.83
2700102,4.09
2700201,3.73
2700300,3.66
2700409,3.99
2700508,4.04
2700607,3.73
2700706,3.87
2700805,3.48
2700904,3.88
2701001,3.89
2701100,3.99
2701209,3.52
2701308,4.15
2701357,3.9
2701407,4.64
2701506,3.81
2701605,3.85
2701704,4.02
2701803,3.98
2701902,3.81
2702009,3.66
2702108,3.79
2702207,3.63
2702306,3.85
2702355,3.81
2702405,3.63
2702504,3.69
2702553,3.45
2702603,3.72
2702702,3.6
2702801,3.86
2702900,4.02
2703007,3.66
2703106,3.54
2703205,3.7
2703304,4.05
2703403,3.87
2703502,4.13
2703601,3.83
2703700,3.93
2703759,4.05
2703809,4.02
2703908,3.71
2704005,3.74
2704104,3.79
2704203,3.96
2704302,3.39
2704401,3.67
2704500,3.89
2704609,3.83
2704708,3.74
2704807,3.56
2704906,3.49
2705002,3.94
2705101,4.01
2705200,3.98
2705309,3.59
2705408,4.08
2705507,4.07
2705606,3.73
2705705,3.7
2705804,3.95
2705903,3.8
2706000,3.79
2706109,3.67
2706208,4
2706307,3.43
2706406,3.91
2706422,3.94
2706448,3.98
2706505,3.94
2706604,3.5
2706703,3.68
2706802,3.69
2706901,3.77
2707008,3.76
2707107,3.97
2707206,4.13
2707305,3.95
2707404,3.74
2707503,3.79
2707602,3.79
2707701,3.66
2707800,4.01
2707909,3.67
2708006,3.74
2708105,3.84
2708204,3.66
2708303,3.81
2708402,4.21
2708501,4.18
2708600,3.85
2708709,3.59
2708808,3.76
