"city_code","employed","employed.privateFormal","employed.publicFormal","employed.informal","employed.noWage","employed.subsistence","employed.owner","employed.self"
1503507,32.34,6.9,4.73,20.72,13.56,20.1,0.36,33.64
1503606,60.02,19.69,7.93,32.4,1.83,6.15,1.9,30.09
1503705,41.93,8.7,5.17,28.06,2.8,23.94,1.16,30.17
1503754,55.44,5.31,4.5,45.62,1.9,13.19,1.03,28.44
1503804,63.41,22.85,4.99,35.57,4.34,4.51,2.94,24.81
1503903,41.11,15.17,7.39,18.54,1.65,23.31,0.67,33.27
1504000,22.82,1.68,6.13,15.01,2.45,26.76,0.19,47.78
1504059,59.04,14.25,5.67,39.11,2.36,3.09,0.7,34.82
1504109,42.33,6.74,5.54,30.05,1.13,20.74,1.06,34.74
1504208,65.65,33.23,9.23,23.19,2.65,4.57,1.29,25.83
1504307,35.49,2.78,6.06,26.65,1.71,17.39,0.09,45.32
1504406,35.36,6.18,5.75,23.43,3.75,15.01,0.47,45.41
1504422,73.69,43.71,6.97,23.01,1.85,0.73,0.28,23.45
1504455,46.7,7.38,3.69,35.62,1.97,7.86,3.64,39.83
1504505,30.12,3.62,3.88,22.62,3.7,19.66,0.1,46.42
1504604,32.11,3.98,8.78,19.35,12.7,15.69,0.1,39.4
1504703,43.47,18.63,4.01,20.82,4.32,14.6,0.26,37.36
1504802,33.84,6.41,6.43,21,10.44,18.78,0.72,36.22
1504901,34.23,4.29,5.72,24.22,2.73,11.96,0.75,50.33
1504950,39.35,1.75,3.52,34.08,6.44,23.06,0.38,30.77
1504976,49.4,7.48,6.76,35.16,3.41,14.33,0.25,32.6
1505007,44.33,8.68,9.5,26.15,5.59,7.65,0,42.43
1505031,58.71,17.77,3.77,37.16,1.84,6.04,5.09,28.32
1505064,50.35,9.57,5.32,35.45,4.54,14.82,0.96,29.33
1505106,35.2,8.91,4.47,21.82,4.28,17.28,1.3,41.94
1505205,27.3,5.75,5.25,16.29,11.8,13.12,0.49,47.29
1505304,46.22,17.85,9.2,19.18,4.26,16.52,0.54,32.45
1505403,46.84,6.27,2.85,37.72,1.34,13.28,0.58,37.96
1505437,64.14,37.64,4.59,21.91,5.85,7.68,0.46,21.87
1505486,40.2,7.87,5.14,27.2,8.57,21.4,1.08,28.76
1505494,58.31,12.16,11.64,34.51,4.27,13.98,0.12,23.32
1505502,73.06,41.07,4.42,27.57,1.01,2.54,1.54,21.85
1505536,78.17,51.57,5.48,21.11,0.92,1.86,1.09,17.96
1505551,64.83,20.3,16.19,28.34,1.85,15.96,0.73,16.63
1505601,47.94,8.98,6.7,32.26,0.95,16.83,0.63,33.66
1505635,55.81,17.9,9.69,28.22,0.89,13.28,2.2,27.82
1505650,47.82,3.94,4.91,38.98,6.89,15.03,0.16,30.09
1505700,38.14,8.97,8.03,21.13,3.91,15.16,0.1,42.68
1505809,38.13,7.11,9.54,21.48,4.7,21.18,0.33,35.66
1505908,32.07,3.06,3.7,25.31,11.5,22.21,0.19,34.03
1506005,27.85,5.34,4.32,18.19,5.1,28.8,0.69,37.57
1506104,33.9,5.53,4.88,23.49,3.79,28.24,0.79,33.29
1506112,31.29,7.32,6.09,17.89,6.25,12.97,0.35,49.14
1506138,67.71,28.88,5,33.84,2.06,2.36,2.98,24.89
