"city_code","pop.white","pop.black","pop.asian","pop.pardos","pop.indigenous","pop.others"
4319109,89.56,1.83,1.5,7.11,0,0
4319125,95.41,1.61,0,2.98,0,0
4319158,73.3,1.44,0.25,22.6,2.42,0
4319208,73.31,1.25,0.06,25.02,0.37,0
4319307,82.66,3.22,0.25,13.87,0,0
4319356,94.71,2.21,0,3.07,0,0
4319364,70.28,2.35,0.38,26.99,0,0
4319372,91.5,1.99,0,6.51,0,0
4319406,86.52,1.83,0.31,11.31,0.03,0
4319505,90.1,2.68,0.24,6.75,0.23,0
4319604,78.36,11.71,0.53,9.04,0.37,0
4319703,86.17,1.84,0.15,11.85,0,0
4319711,92.88,2.94,0.09,4.09,0,0
4319737,51.08,1.8,0.34,4.9,41.87,0
4319752,95.07,0.58,0.09,4.26,0,0
4319802,75.95,3.1,0.09,20.87,0,0
4319901,84.46,1.7,0.67,13.13,0.04,0
4320008,87.06,4.76,0.15,7.98,0.05,0
4320107,79.12,1.86,0.27,18.31,0.45,0
4320206,81.97,1.94,0.28,15.75,0.06,0
4320230,80.21,2.74,0.94,16.01,0.1,0
4320263,71.77,1.88,1.13,25.22,0,0
4320305,85.93,1.2,0,12.66,0.2,0
4320321,89.02,2.73,0.36,7.89,0,0
4320354,82.97,5.97,0.43,10.62,0,0
4320404,87.99,3.29,0.75,7.98,0,0
4320453,96.41,0.7,0,2.89,0,0
4320503,80.79,4.74,1.22,13.13,0.11,0
4320552,89.5,3.31,1.72,5.47,0,0
4320578,88.21,0.17,0.29,11.34,0,0
4320602,94.24,0.55,0.24,4.93,0.04,0
4320651,86.01,2.81,0.1,11.08,0,0
4320677,84.33,0.58,1.63,13.47,0,0
4320701,77.36,2.94,0.59,19.11,0,0
4320800,80.35,2.88,0.83,15.9,0.05,0
4320859,93.46,1.34,0.24,4.48,0.48,0
4320909,83.7,2.23,0.34,13.67,0.07,0
4321006,87.57,1.12,0.07,11.24,0,0
4321105,78.54,9.52,0.07,11.77,0.09,0
4321204,86.23,5.06,0.28,8.34,0.09,0
4321303,92.62,3.58,0.2,3.42,0.18,0
4321329,72.26,6.07,0,20.7,0.96,0
4321352,84.11,5.64,0.25,9.88,0.11,0
4321402,70.24,1.55,0.34,13.59,14.28,0
4321436,91.6,2.52,0,5.66,0.22,0
4321451,90.68,3.1,0.2,5.79,0.23,0
4321469,76.76,0.08,0.72,22.29,0.16,0
4321477,86.44,1.89,0.68,10.98,0,0
4321493,89.56,2.22,0.5,7.72,0,0
4321501,91.74,1.92,0.08,5.8,0.46,0
4321600,88.21,3.71,0.26,7.6,0.22,0
4321626,95.77,0.22,0,3.92,0.09,0
4321634,99.41,0.09,0,0.5,0,0
4321667,95.31,1.33,0.26,3.04,0.05,0
4321709,84.63,2.68,0.65,11.92,0.12,0
4321808,86.54,0.84,0.21,12.41,0,0
4321832,84.93,9.01,0.29,5.48,0.28,0
4321857,65.74,4.57,0.99,20.38,8.32,0
4321907,88.84,0.92,0.12,9.88,0.24,0
4321956,74.68,4.91,0.65,19.52,0.24,0
4322004,87.74,4.6,0.19,7.42,0.05,0
4322103,86.81,2.96,0.76,9.39,0.08,0
4322152,78.87,2.04,0.43,18.55,0.11,0
4322186,85.14,4.44,3.16,7.26,0,0
4322202,81.45,3.87,0.43,14.24,0,0
4322251,97.87,0.32,0,1.8,0,0
4322301,91.37,0.28,0,8.35,0,0
4322327,88.99,4.23,0.91,5.87,0,0
4322343,95.61,0.71,0,3.68,0,0
4322350,96.52,0.68,0.24,2.56,0,0
4322376,84.54,1.46,0.09,13.91,0,0
4322400,74.87,4.43,0.36,20.24,0.1,0
4322509,72.8,3.8,0.95,22.29,0.15,0
4322525,90.7,4.09,0.66,4.55,0,0
4322533,85.55,3.98,1.44,9.03,0,0
4322541,92.41,1.35,0.73,5.07,0.43,0
4322558,88.3,3.05,0,8.66,0,0
4322608,89.08,4.91,0.19,5.73,0.09,0
4322707,87.35,6.57,0.89,5.16,0.02,0
4322806,88.66,2.02,0.28,9,0.04,0
4322855,95.7,1.2,0,3.1,0,0
4322905,90.53,0.26,0.28,8.93,0,0
4323002,74.94,11.46,0.33,12.85,0.42,0
4323101,80.75,0.49,0.68,16.41,1.66,0
4323200,92.43,0.38,0.25,6.84,0.11,0
4323309,91.16,1.28,0.09,7.47,0,0
4323358,90.67,2.53,0.09,6.71,0,0
4323408,94.15,1.93,0.23,3.7,0,0
4323457,83.35,6,0.29,10.37,0,0
4323507,85.18,3.16,1.77,9.72,0.17,0
4323606,91.64,0.84,0.12,7.4,0,0
4323705,88.32,2.32,0.44,8.92,0,0
4323754,78.14,3.44,1.35,16.97,0.1,0
4323770,97.84,0.33,0,1.83,0,0
4323804,89.75,4.06,0.14,5.92,0.12,0
5000203,40.92,8.53,1.56,48.83,0.16,0
5000252,49.18,5.66,0.47,44.64,0.04,0
5000609,50.71,2.28,0.37,25.76,20.88,0
5000708,41.24,3.99,1.1,47.6,6.08,0
5000807,40.37,4.43,0.94,54.12,0.14,0
5000856,48.19,4.79,0.72,46.25,0.05,0
5000906,47.56,2.3,0.7,38.97,10.47,0
5001003,58.75,5.19,1,35.06,0,0
5001102,33.93,6.35,0.98,45.66,13.07,0
5001243,55.89,1.84,0.12,34.72,7.43,0
5001508,43.09,5.66,1.71,48.9,0.65,0
5001904,44.47,5.27,0.78,48.98,0.49,0
5002001,39.77,4.13,0.87,55.18,0.05,0
